Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
110000,Other,48,45-54,Independent,Not Very Strong Conservative,Graduate degree,,Black,,Suburb,Approve,Kept the Same,No,Yes,More Equal Society,99,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
80000,Male,38,35-44,Independent,Not very strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,75,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
40,Female,66,65+,Strong Democrat,Moderate,Graduate degree,,White,,City,Disapprove,Decreased,No,No,More Equal Society,DK/REF,DK/REF,Strongly No,Yes,Not Hungry,No,Less Smelly
50000,Male,68,65+,Strong Democrat,Strong Liberal,Some college,,Other,American Indian,Small Town,Disapprove,DK/REF,No,No,More Equal Society,70,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
13000,Female,56,55-64,Strong Democrat,Strong Liberal,Some college,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,85,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,More Smelly
,Male,20,18-24,DK/REF,DK/REF,College degree,,White,,Small Town,Approve,Decreased,DK/REF,Yes,DK/REF,0,Strongly No,Strongly No,DK/REF,Very Hungry,Yes,Less Smelly
,Male,42,35-44,Not Strong Republican,Moderate,High school or less,,White,,Small Town,Neither Approve nor disapprove,Increased,Yes,Yes,More Equal Society,25,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
,Female,54,45-54,Independent,Moderate,Graduate degree,,Asian,,Suburb,Disapprove,Kept the Same,No,Yes,DK/REF,80,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,60,55-64,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,DK/REF,No,No,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,19,18-24,Independent,Not very strong Liberal,Some college,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,87,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
21000,Male,30,25-34,Independent,Strong Liberal,Some college,,White,,City,Disapprove,Increased,No,No,More Equal Society,99,Strongly Yes,Strongly No,Yes,A Little Hungry,No,More Smelly
,Male,52,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,Approve,Kept the Same,No,Yes,DK/REF,95,Strongly No,Strongly No,DK/REF,Very Hungry,DK/REF,More Smelly
60000,Male,25,25-34,Strong Democrat,Moderate,Some college,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
125,Male,33,25-34,Not Strong Republican,Moderate,College degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,90,Strongly No,Strongly No,Yes,Very Hungry,Yes,DK/REF
10000,Male,45,45-54,DK/REF,DK/REF,Some college,,Asian,,City,DK/REF,Increased,No,DK/REF,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
90000,Female,35,35-44,Not Strong Democrat,Moderate,Graduate degree,,Black,,Suburb,Disapprove,Decreased,No,Yes,More Equal Society,DK/REF,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,Less Smelly
150000,Female,60,55-64,Strong Democrat,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,75,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
60,Male,29,25-34,Independent,Not Very Strong Conservative,College degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,DK/REF,DK/REF,70,Strongly No,Strongly No,Yes,A Little Hungry,Yes,Less Smelly
60000,Female,34,25-34,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,10,Not Very Strongly No,Strongly No,Yes,A Little Hungry,DK/REF,DK/REF
120000,Male,52,45-54,Independent,Not Very Strong Conservative,College degree,,White,,Small Town,DK/REF,Decreased,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,A Little Hungry,Yes,More Smelly
50000,Male,37,35-44,Not Strong Democrat,Moderate,High school or less,,White,,Small Town,Neither Approve nor disapprove,DK/REF,Yes,Yes,DK/REF,50,Strongly Yes,Strongly No,No,Very Hungry,DK/REF,DK/REF
40000,Male,75,65+,Not Strong Democrat,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,96,DK/REF,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
175000,Female,42,35-44,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,80,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
80000,Male,37,35-44,Independent,Moderate,Some college,,White,,Suburb,Neither Approve nor disapprove,Increased,No,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,Yes,More Smelly
50000,Male,66,65+,Independent,DK/REF,Graduate degree,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,90,Not Very Strongly No,Strongly No,No,Not Hungry,No,More Smelly
85000,Male,34,25-34,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,70,Not Very Strongly No,Not Very Strongly No,Yes,A Little Hungry,Yes,DK/REF
37000,Female,22,18-24,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,65,Strongly Yes,Not Very Strongly Yes,Yes,A Little Hungry,No,Less Smelly
,Male,77,65+,DK/REF,Strong Conservative,Graduate degree,,White,,City,Approve,Decreased,No,Yes,More Equal Society,80,Strongly No,Strongly No,No,A Little Hungry,No,DK/REF
24000,Female,27,25-34,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,DK/REF,Yes,More Equal Society,98,Strongly Yes,Strongly Yes,Yes,A Little Hungry,No,Less Smelly
,Female,50,45-54,Independent,Moderate,Graduate degree,,White,,Suburb,Approve,Decreased,No,Yes,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
80000,Male,37,35-44,Strong Democrat,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,99,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,25,25-34,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,45,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
12000,Male,50,45-54,Independent,Not Very Strong Conservative,High school or less,,White,,City,Disapprove,Decreased,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Female,65,65+,Strong Republican,Strong Conservative,College degree,,White,,City,Approve,Decreased,No,No,More Equal Society,20,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
30000,Female,48,45-54,Independent,Moderate,Some college,,White,,DK/REF,DK/REF,Kept the Same,No,Yes,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,74,65+,Not Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,Yes,More Equal Society,DK/REF,Strongly No,Not Very Strongly Yes,No,Not Hungry,No,DK/REF
90000,Female,65,65+,Not Strong Republican,Moderate,Graduate degree,,White,,City,Approve,Decreased,Yes,No,More Unequal Society,75,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
55000,Male,34,25-34,Not Strong Republican,Moderate,High school or less,,White,,Small Town,DK/REF,Kept the Same,No,Yes,More Equal Society,85,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
50000,Female,55,55-64,Not Strong Republican,Moderate,High school or less,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,30,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
10000,Female,21,18-24,Independent,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,97,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,37,35-44,Independent,Strong Liberal,Graduate degree,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,70,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,35,35-44,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,Less Smelly
40000,Male,24,18-24,Independent,Not very strong Liberal,Some college,,White,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,99,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
18000,Male,30,25-34,Independent,Not Very Strong Conservative,Some college,,White,,City,Neither Approve nor disapprove,Decreased,No,No,DK/REF,90,Strongly No,DK/REF,Yes,Not Hungry,No,DK/REF
60000,Male,59,55-64,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,10,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
55000,Female,44,35-44,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,Yes,More Unequal Society,5,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
80000,Male,70,65+,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Kept the Same,No,Yes,More Unequal Society,60,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
100000,Male,33,25-34,Independent,DK/REF,College degree,,White,,Suburb,DK/REF,DK/REF,No,No,More Equal Society,3,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
65000,Male,70,65+,Independent,Strong Conservative,High school or less,,White,,Small Town,Approve,Kept the Same,No,No,DK/REF,80,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
60000,Male,29,25-34,Strong Republican,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,Yes,More Equal Society,70,Not Very Strongly No,Strongly No,Yes,A Little Hungry,No,More Smelly
90000,Female,57,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
50000,Male,63,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,10,Strongly Yes,Strongly No,No,Not Hungry,DK/REF,DK/REF
15000,Female,24,18-24,Strong Democrat,Strong Liberal,Some college,,Latino,,Suburb,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
100000,Male,57,55-64,Independent,Not Very Strong Conservative,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,26,25-34,Independent,DK/REF,College degree,,Other,Hispanic,Small Town,Neither Approve nor disapprove,Kept the Same,Yes,Yes,More Equal Society,1,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
40000,Male,63,55-64,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,Yes,Yes,More Unequal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,40,35-44,Not Strong Democrat,Not Very Strong Conservative,College degree,,Asian,,City,DK/REF,DK/REF,No,DK/REF,More Equal Society,50,DK/REF,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
125000,Male,69,65+,Strong Democrat,Moderate,Graduate degree,,White,,Suburb,Disapprove,Increased,DK/REF,Yes,More Equal Society,10,Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,23,18-24,Independent,Not Very Strong Conservative,College degree,,Black,,Small Town,Neither Approve nor disapprove,Increased,DK/REF,DK/REF,More Equal Society,0.05,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,60,55-64,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
90000,Male,38,35-44,Independent,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Disapprove,Decreased,No,No,DK/REF,15,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Male,35,35-44,Independent,Not Very Strong Conservative,High school or less,,White,,City,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,70,Not Very Strongly Yes,Strongly Yes,No,Not Hungry,Yes,Less Smelly
127000,Male,53,45-54,Independent,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
20000,Male,30,25-34,Strong Republican,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Kept the Same,Yes,No,More Unequal Society,90,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
57000,Male,69,65+,Not Strong Republican,Strong Conservative,High school or less,,White,,City,Approve,Increased,DK/REF,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
43000,Male,36,35-44,Independent,Moderate,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,87,Strongly Yes,Strongly No,Yes,Very Hungry,Yes,Less Smelly
,Male,50,45-54,Independent,Moderate,High school or less,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,50,45-54,Independent,Moderate,College degree,,White,,City,Disapprove,Decreased,No,Yes,More Equal Society,60,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
60000,Male,63,55-64,Not Strong Republican,Moderate,College degree,,White,,DK/REF,Neither Approve nor disapprove,Kept the Same,No,Yes,DK/REF,2,Strongly No,DK/REF,Yes,Not Hungry,No,DK/REF
70000,Male,23,18-24,DK/REF,DK/REF,DK/REF,,Black,,Small Town,Disapprove,Kept the Same,DK/REF,No,More Equal Society,80,DK/REF,Strongly No,Yes,A Little Hungry,Yes,DK/REF
40000,Male,52,45-54,Independent,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,Yes,Yes,More Unequal Society,60,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
80000,Male,57,55-64,Not Strong Republican,Moderate,High school or less,,White,,Suburb,Approve,Decreased,Yes,Yes,More Unequal Society,DK/REF,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
12000,Male,68,65+,Strong Democrat,Moderate,High school or less,,Black,,City,Disapprove,Increased,Yes,No,More Equal Society,95,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
50000,Female,55,55-64,Independent,DK/REF,Some college,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,35,35-44,Independent,Moderate,College degree,,Black,,Small Town,Neither Approve nor disapprove,Decreased,Yes,Yes,More Equal Society,10,Strongly No,Strongly No,Yes,A Little Hungry,Yes,More Smelly
100000,Female,65,65+,Independent,Moderate,Graduate degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,100,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
55,Male,65,65+,Not Strong Democrat,Moderate,High school or less,,Latino,,Small Town,DK/REF,Kept the Same,DK/REF,No,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly No,No,Very Hungry,Yes,Less Smelly
150000,Male,53,45-54,Independent,DK/REF,Some college,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,75,Strongly Yes,Strongly No,No,A Little Hungry,Yes,More Smelly
,Female,65,65+,Not Strong Democrat,Moderate,Some college,,White,,Suburb,Disapprove,DK/REF,Yes,DK/REF,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,More Smelly
2000,Other,30,25-34,DK/REF,DK/REF,Some college,,White,,City,Disapprove,Increased,Yes,Yes,More Equal Society,6,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,21,18-24,Not Strong Democrat,Not very strong Liberal,High school or less,,White,,Suburb,Disapprove,DK/REF,No,No,More Equal Society,70,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
90000,Male,52,45-54,Strong Republican,Strong Liberal,College degree,,White,,Suburb,Approve,Decreased,DK/REF,Yes,More Equal Society,10,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
20000,Male,50,45-54,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,10,Strongly No,Strongly No,Yes,A Little Hungry,No,Less Smelly
100000,Female,69,65+,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,Yes,Yes,More Unequal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
85000,Female,41,35-44,Not Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,City,Approve,Decreased,No,No,More Equal Society,85,Strongly No,Strongly No,Yes,A Little Hungry,DK/REF,More Smelly
,Male,45,45-54,Strong Democrat,Strong Liberal,College degree,,White,,City,DK/REF,Kept the Same,No,No,More Equal Society,95,Not Very Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
30000,Female,66,65+,Strong Democrat,Strong Conservative,College degree,,Black,,City,Disapprove,Increased,No,Yes,More Equal Society,80,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,62,55-64,Independent,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Strongly No,No,DK/REF,DK/REF,DK/REF
,Female,66,65+,Not Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,Yes,No,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
50000,Female,65,65+,Not Strong Republican,Moderate,High school or less,,White,,Small Town,Approve,Increased,No,No,More Unequal Society,70,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
20000,Male,65,65+,Independent,Strong Liberal,Some college,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,35,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,57,55-64,Independent,Moderate,High school or less,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,10,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
1000,Female,43,35-44,Independent,Moderate,High school or less,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,1,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
85000,Male,45,45-54,Independent,Not Very Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,90,Strongly No,Strongly No,Yes,A Little Hungry,Yes,DK/REF
,Female,66,65+,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,25,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
953,Female,81,65+,Not Strong Republican,Moderate,High school or less,,White,,Suburb,DK/REF,Increased,No,No,More Equal Society,70,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,40,35-44,Strong Democrat,DK/REF,High school or less,,Black,,Small Town,Disapprove,Increased,No,No,More Equal Society,100,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
40000,Male,70,65+,Independent,Strong Conservative,Other,Post Graduate,Other,Native American,Small Town,Approve,Decreased,No,No,DK/REF,25,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
18000,Female,53,45-54,Independent,Moderate,High school or less,,Latino,,City,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,75,Strongly No,Strongly Yes,DK/REF,Not Hungry,No,DK/REF
,Female,52,45-54,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,DK/REF,DK/REF,No,More Equal Society,80,DK/REF,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
45,Male,34,25-34,Independent,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,1,Not Very Strongly Yes,Strongly No,Yes,Very Hungry,Yes,Less Smelly
,Female,35,35-44,Strong Democrat,Not very strong Liberal,Graduate degree,,Black,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,70,Strongly No,Not Very Strongly Yes,Yes,Not Hungry,No,DK/REF
50000,Male,63,55-64,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,No,More Unequal Society,95,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
20000,Male,47,45-54,Not Strong Democrat,Strong Conservative,High school or less,,Latino,,Small Town,Disapprove,Decreased,DK/REF,DK/REF,More Equal Society,50,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,Less Smelly
40000,Male,73,65+,Independent,DK/REF,Some college,,White,,City,Approve,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Strongly No,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
,Male,72,65+,Independent,Strong Conservative,High school or less,,White,,City,Approve,Decreased,No,Yes,More Unequal Society,50,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
55000,Female,62,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Kept the Same,Yes,Yes,More Equal Society,1,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Male,47,45-54,DK/REF,DK/REF,Some college,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,2,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
70000,Male,50,45-54,Independent,Moderate,College degree,,White,,Small Town,DK/REF,Kept the Same,No,DK/REF,More Equal Society,20,DK/REF,Strongly Yes,Yes,Not Hungry,No,DK/REF
50000,Female,62,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,60,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,74,65+,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,55,Not Very Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
120000,Male,57,55-64,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
2.1,Male,54,45-54,Strong Republican,Strong Conservative,Graduate degree,,Black,,City,Approve,Kept the Same,DK/REF,DK/REF,More Unequal Society,100,Strongly No,DK/REF,Yes,Not Hungry,Yes,DK/REF
65000,Male,58,55-64,Strong Republican,Strong Conservative,High school or less,,White,,DK/REF,Approve,Decreased,No,Yes,More Equal Society,75,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
23000,Male,44,35-44,Not Strong Democrat,Not very strong Liberal,College degree,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,46,45-54,Not Strong Democrat,Moderate,College degree,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,80,Strongly No,Strongly Yes,Yes,Not Hungry,No,DK/REF
,Female,53,45-54,Not Strong Republican,Moderate,College degree,,White,,Small Town,Approve,Kept the Same,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,52,45-54,Strong Democrat,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Increased,No,No,More Unequal Society,30,Not Very Strongly Yes,Strongly No,Yes,A Little Hungry,No,Less Smelly
,Male,56,55-64,Independent,Moderate,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,50,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,79,65+,Strong Republican,Moderate,High school or less,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,Yes,Yes,More Equal Society,10,Not Very Strongly No,Strongly No,No,Not Hungry,No,More Smelly
,Male,58,55-64,Not Strong Republican,Moderate,Some college,,White,,Small Town,Approve,Decreased,DK/REF,Yes,More Equal Society,60,Strongly No,Not Very Strongly No,No,Not Hungry,Yes,DK/REF
,Female,73,65+,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,80,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
250000,Female,47,45-54,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Decreased,No,No,More Equal Society,25,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,72,65+,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,DK/REF,No,Yes,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,DK/REF,Not Hungry,No,DK/REF
,Other,32,25-34,DK/REF,Strong Conservative,College degree,,Other,Indian,Small Town,Approve,Kept the Same,Yes,Yes,More Equal Society,50,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
,Female,58,55-64,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,No,More Unequal Society,10,Strongly No,Not Very Strongly No,No,Not Hungry,Yes,Less Smelly
25000,Male,40,35-44,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,2,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
55000,Male,69,65+,Independent,Strong Liberal,Some college,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,60,Strongly Yes,Not Very Strongly No,No,Not Hungry,No,DK/REF
180000,Male,58,55-64,Not Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,DK/REF,90,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
40000,Male,66,65+,Independent,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,1,DK/REF,Not Very Strongly No,No,Not Hungry,No,DK/REF
,Female,53,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,80,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
24000,Female,65,65+,DK/REF,DK/REF,Some college,,Black,,Small Town,Disapprove,Increased,No,No,More Equal Society,95,Not Very Strongly No,Strongly No,No,Not Hungry,No,More Smelly
,Male,62,55-64,Independent,Moderate,High school or less,,White,,Suburb,Approve,Kept the Same,No,No,DK/REF,DK/REF,Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
500000,Male,57,55-64,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,80,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
