Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
,Female,50,45-54,DK/REF,Strongly disapprove,College degree,,Other,Native American,In a relationship,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,50,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Unacceptable
,Male,30,25-34,Independent,Somewhat disapprove,Graduate degree,,Black,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,50,,No,5,,About Right,TRUE,Smart and Sad,Unacceptable
,Female,35,35-44,Democrat,Strongly disapprove,Other,associate's degree,Black,,Separated,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,8,,Yes,20,,Too Low,FALSE,Dumb and happy,Acceptable
,Female,22,18-24,Democrat,Somewhat disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,6,,Yes,10,,About Right,TRUE,Dumb and happy,Acceptable
,Female,40,35-44,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,Yes,5,,Too Low,TRUE,Dumb and happy,Unacceptable
,Female,70,65+,DK/REF,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,10,,No,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
,Male,46,45-54,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Somewhat Agree,24,,Yes,9,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,42,35-44,Independent,Strongly disapprove,Some college,,Black,,Divorced,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,6,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Male,36,35-44,DK/REF,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Neither Agree nor Disagree,15,,DK/REF,1,,Too Low,FALSE,Dumb and happy,Acceptable
,Female,66,65+,DK/REF,DK/REF,College degree,,Asian,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,,Yes,DK/REF,,Yes,DK/REF,TRUE,DK/REF,Unacceptable
,Female,71,65+,Democrat,Strongly disapprove,Some college,,White,,Divorced,,,DK/REF,Real and Caused by People,,Yes,Strongly Disagree,Somewhat Agree,100,,Yes,60,,Too High,TRUE,Smart and Sad,Unacceptable
,Male,25,25-34,Independent,DK/REF,Graduate degree,,Asian,,In a relationship,,Yes,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,5,,No,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
,Male,69,65+,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,2,,No,5,,About Right,DK/REF,Dumb and happy,Acceptable
,Female,29,25-34,Independent,DK/REF,College degree,,Other,Native American,Single,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,20,,No,30,,Too Low,TRUE,Smart and Sad,Acceptable
57000,Female,60,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,15,,Yes,20,,About Right,TRUE,Smart and Sad,Unacceptable
,Female,70,65+,Democrat,Strongly disapprove,College degree,,Black,,Married,,,Likely,Real and Caused by People,0,,Strongly Disagree,Somewhat Disagree,2,,No,30,,About Right,FALSE,Dumb and happy,Unacceptable
101000,Male,45,45-54,Independent,Somewhat Approve,College degree,,Latino,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Strongly Agree,2,,No,5,,Too Low,TRUE,Dumb and happy,Unacceptable
152000,Male,30,25-34,Republican,Neither approve nor disapprove,College degree,,White,,Married,,Yes,Unlikely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,25,,No,5,,Too High,DK/REF,Dumb and happy,Unacceptable
35000,Male,63,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Likely,Real but not Caused by People,1,,Strongly Disagree,Somewhat Agree,24,,No,5,,About Right,FALSE,Smart and Sad,Acceptable
109000,Male,51,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,No,1,,Too Low,TRUE,Smart and Sad,Acceptable
87000,Male,56,55-64,Republican,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,No,40,,About Right,DK/REF,Dumb and happy,Unacceptable
79000,Female,62,55-64,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,5,,Yes,10,,Too Low,FALSE,Dumb and happy,Unacceptable
73000,Female,46,45-54,Democrat,DK/REF,Some college,,White,,Married,,,Unlikely,DK/REF,0,,Strongly Agree,Somewhat Disagree,0,,Yes,10,,DK/REF,TRUE,Dumb and happy,Unacceptable
89000,Female,83,65+,DK/REF,Strongly Approve,High school,,White,,Widowed,,Yes,Unlikely,Not Real At All,0,,DK/REF,DK/REF,12,,No,,Yes,DK/REF,TRUE,DK/REF,Unacceptable
250000,Male,48,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,3,,No,5,,Too Low,FALSE,Dumb and happy,Acceptable
93000,Female,54,45-54,Independent,Strongly disapprove,Some college,,Latino,,Married,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,15,,Yes,,Yes,Too Low,DK/REF,DK/REF,Acceptable
21000,Female,64,55-64,Democrat,DK/REF,College degree,,White,,Single,,,Unlikely,Real but not Caused by People,3,,Strongly Agree,Strongly Agree,0,,No,25,,About Right,DK/REF,DK/REF,Unacceptable
80000,Female,62,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,125,,No,20,,Too Low,TRUE,Smart and Sad,Acceptable
30000,Male,68,65+,DK/REF,Strongly disapprove,Some college,,DK/REF,,Widowed,,,DK/REF,DK/REF,0,,DK/REF,DK/REF,,Yes,No,,Yes,Too Low,TRUE,Smart and Sad,DK/REF
73000,Male,40,35-44,DK/REF,Strongly disapprove,College degree,,DK/REF,,Single,,,Unlikely,Real but not Caused by People,,Yes,Strongly Agree,Strongly Disagree,10,,No,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
133000,Male,53,45-54,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,DK/REF,1,,Strongly Agree,Strongly Agree,3,,No,1,,Too Low,FALSE,Smart and Sad,Unacceptable
74000,Female,85,65+,Democrat,DK/REF,Graduate degree,,White,,Widowed,,,Unlikely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,5,,No,50,,Too High,TRUE,Dumb and happy,Unacceptable
67000,Male,55,55-64,Democrat,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Strongly Agree,0,,No,33,,Too Low,TRUE,Dumb and happy,Acceptable
,Female,52,45-54,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,Yes,,Yes,Too Low,FALSE,Dumb and happy,Unacceptable
,Male,68,65+,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,DK/REF,Strongly Agree,5,,No,1,,Too Low,FALSE,Dumb and happy,DK/REF
,Female,59,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,10,,Too Low,TRUE,Smart and Sad,Unacceptable
,Female,25,25-34,DK/REF,Strongly disapprove,High school,,DK/REF,,Single,,,Likely,Real and Caused by People,3,,Strongly Agree,Somewhat Agree,50,,Yes,,Yes,About Right,TRUE,Smart and Sad,Unacceptable
,Female,57,55-64,Republican,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,60,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,72,65+,Independent,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Strongly Disagree,Strongly Agree,20,,No,15,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,66,65+,DK/REF,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,3,,Yes,2,,About Right,TRUE,DK/REF,Acceptable
,Male,49,45-54,Independent,Strongly disapprove,Some college,,White,,Divorced,,,Likely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,20,,No,2,,Too Low,FALSE,Smart and Sad,Unacceptable
,Male,44,35-44,DK/REF,Neither approve nor disapprove,High school,,White,,Single,,,Unlikely,DK/REF,5,,Neither Agree nor Disagree,Somewhat Agree,,Yes,No,5,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,58,55-64,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,0,,No,35,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,55,55-64,Democrat,Strongly disapprove,High school,,Black,,Single,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,15,,No,10,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,42,35-44,Republican,Somewhat Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,2,,Strongly Agree,Strongly Agree,2,,Yes,75,,About Right,TRUE,Dumb and happy,Unacceptable
,Other,34,25-34,Independent,DK/REF,Graduate degree,,DK/REF,,DK/REF,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,30,,No,,Yes,DK/REF,FALSE,Dumb and happy,Acceptable
,Female,47,45-54,Independent,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,DK/REF,3,,Strongly Disagree,Somewhat Agree,0,,No,25,,Too High,TRUE,Dumb and happy,Acceptable
,Female,38,35-44,Democrat,DK/REF,College degree,,White,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,0,,Yes,,Yes,About Right,DK/REF,Smart and Sad,Acceptable
,Male,31,25-34,Democrat,Somewhat disapprove,High school,,Black,,Single,,,Unlikely,Real but not Caused by People,3,,Somewhat Disagree,Strongly Agree,2,,Yes,15,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,49,45-54,Democrat,Strongly Approve,Some college,,White,,Married,,,Likely,Real but not Caused by People,0,,Strongly Agree,Somewhat Disagree,10,,No,50,,About Right,TRUE,Smart and Sad,Unacceptable
,Male,52,45-54,DK/REF,Neither approve nor disapprove,Some college,,Other,Native American,Single,,,Likely,Not Real At All,5,,Strongly Disagree,Somewhat Agree,2,,No,50,,Too High,TRUE,Dumb and happy,Unacceptable
,Female,63,55-64,Independent,Strongly disapprove,Graduate degree,,White,,Single,,,Unlikely,DK/REF,0,,Strongly Agree,Strongly Agree,50,,No,10,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,26,25-34,Democrat,Somewhat disapprove,High school,,Latino,,In a relationship,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,50,,Yes,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
,Male,43,35-44,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,1,,Too Low,FALSE,Dumb and happy,Unacceptable
,Male,19,18-24,Independent,Somewhat disapprove,Some college,,Black,,Single,,Yes,DK/REF,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,5,,No,5,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,22,18-24,DK/REF,DK/REF,DK/REF,,White,,Single,,,Unlikely,Not Real At All,,Yes,Strongly Disagree,Strongly Disagree,0,,No,,Yes,DK/REF,DK/REF,Smart and Sad,Acceptable
,Male,39,35-44,Independent,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Somewhat Agree,5,,No,,Yes,About Right,FALSE,Smart and Sad,Unacceptable
,Male,65,65+,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Somewhat Agree,0,,Yes,0,,About Right,TRUE,Smart and Sad,Acceptable
,Male,35,35-44,DK/REF,DK/REF,Graduate degree,,White,,Married,,,Unlikely,DK/REF,,Yes,DK/REF,DK/REF,8,,Yes,,Yes,DK/REF,TRUE,DK/REF,DK/REF
,Male,40,35-44,DK/REF,DK/REF,College degree,,Black,,Married,,Yes,Unlikely,Real and Caused by People,,Yes,DK/REF,Strongly Agree,10,,No,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
77000,Female,18,18-24,DK/REF,DK/REF,Some college,,White,,Single,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Strongly Agree,25,,No,20,,About Right,FALSE,Smart and Sad,Unacceptable
112000,Female,59,55-64,Democrat,Strongly disapprove,Graduate degree,,Asian,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,2,,No,,Yes,DK/REF,FALSE,Dumb and happy,Unacceptable
71000,Female,58,55-64,DK/REF,DK/REF,Some college,,Asian,,Single,,,Unlikely,Real and Caused by People,0,,DK/REF,Strongly Agree,3,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
52000,Female,61,55-64,Independent,Somewhat disapprove,Some college,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,2,,Yes,5,,DK/REF,TRUE,Smart and Sad,Unacceptable
22000,Female,64,55-64,Independent,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,2,,DK/REF,75,,About Right,TRUE,Smart and Sad,Acceptable
136000,Female,64,55-64,Republican,DK/REF,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,,Yes,DK/REF,TRUE,DK/REF,Unacceptable
167000,Male,65,65+,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,DK/REF,12,,No,,Yes,Too Low,TRUE,DK/REF,DK/REF
76000,Male,60,55-64,Independent,Strongly Approve,Graduate degree,,DK/REF,,Divorced,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Agree,150,,Yes,,Yes,Too High,FALSE,DK/REF,Unacceptable
32000,Female,60,55-64,Democrat,Strongly disapprove,College degree,,Black,,In a relationship,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,6,,No,60,,About Right,TRUE,Smart and Sad,Unacceptable
110000,Female,44,35-44,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Disagree,Strongly Agree,3,,No,80,,About Right,TRUE,Dumb and happy,Acceptable
80000,Female,22,18-24,DK/REF,DK/REF,College degree,,White,,In a relationship,,,Unlikely,DK/REF,0,,Somewhat Agree,Strongly Agree,20,,Yes,,Yes,About Right,TRUE,DK/REF,Unacceptable
114000,Male,56,55-64,Independent,Strongly Approve,Graduate degree,,White,,Married,,,DK/REF,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,2,,No,20,,About Right,FALSE,Smart and Sad,Acceptable
236000,Male,52,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,6,,DK/REF,2,,Too Low,FALSE,Smart and Sad,Acceptable
48000,Male,64,55-64,Democrat,Strongly disapprove,High school,,Black,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Strongly Agree,,Yes,No,40,,About Right,DK/REF,Smart and Sad,Unacceptable
25000,Female,45,45-54,Democrat,Strongly disapprove,High school,,Latino,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Disagree,2,,Yes,,Yes,DK/REF,TRUE,DK/REF,Acceptable
143000,Male,52,45-54,DK/REF,Strongly Approve,Graduate degree,,DK/REF,,DK/REF,,Yes,Likely,DK/REF,5,,DK/REF,Strongly Agree,20,,No,10,,Too Low,TRUE,Smart and Sad,Acceptable
17000,Female,63,55-64,Independent,Strongly disapprove,Some college,,Black,,Divorced,,,Likely,DK/REF,0,,DK/REF,Strongly Agree,10,,No,,Yes,DK/REF,TRUE,Dumb and happy,Unacceptable
138000,Male,49,45-54,Democrat,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,3,,No,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
100000,Male,19,18-24,Independent,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,4,,No,,Yes,DK/REF,DK/REF,Smart and Sad,Acceptable
104000,Female,70,65+,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,60,,Yes,3,,Too Low,FALSE,Smart and Sad,Acceptable
85000,Female,60,55-64,Democrat,Strongly disapprove,Graduate degree,,Black,,Single,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,50,,No,40,,Too High,TRUE,DK/REF,Unacceptable
202000,Male,40,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,15,,No,3,,Too Low,FALSE,Smart and Sad,Acceptable
41000,Female,41,35-44,Independent,Neither approve nor disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,7,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Unacceptable
65000,Female,50,45-54,Independent,DK/REF,Some college,,Black,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,0,,No,90,,Too Low,TRUE,Dumb and happy,Unacceptable
147000,Male,64,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,3,,No,1,,Too Low,TRUE,Smart and Sad,Unacceptable
19000,Male,83,65+,Republican,Strongly Approve,High school,,White,,Widowed,,,DK/REF,Real and Caused by People,,Yes,DK/REF,DK/REF,3,,Yes,30,,Too Low,TRUE,Dumb and happy,Unacceptable
97000,Female,53,45-54,Independent,Strongly Approve,College degree,,Asian,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Disagree,Strongly Disagree,1,,Yes,10,,About Right,FALSE,Dumb and happy,Unacceptable
105000,Male,68,65+,Independent,DK/REF,Graduate degree,,White,,Single,,Yes,Unlikely,Real but not Caused by People,3,,Somewhat Disagree,Strongly Disagree,4,,Yes,3,,About Right,FALSE,Smart and Sad,Unacceptable
132000,Male,60,55-64,Independent,Strongly disapprove,Some college,,DK/REF,,Married,,,DK/REF,Real and Caused by People,0,,Strongly Agree,Strongly Agree,6,,No,10,,About Right,TRUE,Smart and Sad,Unacceptable
153000,Female,58,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Disagree,10,,Yes,30,,About Right,TRUE,Dumb and happy,Unacceptable
17000,Female,53,45-54,Democrat,Somewhat disapprove,Some college,,Black,,Married,,,Likely,Real and Caused by People,2,,Somewhat Disagree,Somewhat Agree,2,,No,10,,Too Low,DK/REF,Dumb and happy,Unacceptable
45000,Female,26,25-34,Independent,Somewhat disapprove,High school,,Latino,,In a relationship,,,Likely,Not Real At All,3,,Somewhat Agree,Strongly Agree,3,,No,60,,About Right,FALSE,Dumb and happy,Unacceptable
35000,Male,58,55-64,Democrat,Strongly disapprove,High school,,Black,,In a relationship,,,Likely,Not Real At All,0,,Somewhat Agree,Strongly Disagree,0,,Yes,,Yes,Too High,FALSE,Smart and Sad,Acceptable
90000,Female,37,35-44,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,120,,No,,Yes,Too Low,TRUE,Dumb and happy,Acceptable
62000,Male,52,45-54,Independent,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,1,,DK/REF,Strongly Agree,4,,No,15,,About Right,TRUE,Smart and Sad,Unacceptable
71000,Female,56,55-64,DK/REF,Strongly disapprove,High school,,White,,Married,,,Likely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,3,,No,50,,Too Low,TRUE,Dumb and happy,Acceptable
118000,Male,50,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,4,,Somewhat Disagree,Strongly Agree,0,,No,,Yes,DK/REF,FALSE,Dumb and happy,Acceptable
159000,Female,47,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,4,,Yes,3,,Too Low,FALSE,Dumb and happy,Unacceptable
5000,Female,55,55-64,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Strongly Agree,5,,Yes,3,,Too Low,TRUE,Dumb and happy,Acceptable
436000,Male,55,55-64,Independent,Somewhat disapprove,College degree,,Asian,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,3,,Yes,10,,Too Low,TRUE,Dumb and happy,Acceptable
